Title,Description,Word
Midsummer Traditions,Customs of the summer classic,"CLASSIC, EXHIBITION, STARTERS, RESERVES, BALLOT, JULY, TUESDAY, HALFWAY, BREAK, ROSTER, LEAGUE, PRIDE, ANTHEM"
ASG MVP Winners,Players named Most Valuable,"SCHWARBER, DURAN, DIAZ, STANTON, GUERRERO, BIEBER, BREGMAN, CANO, HOSMER, TROUT, RIVERA, CABRERA, FIELDER"
Home Run Derby Kings,Winners of the derby,"GRIFFEY, ALONSO, SOTO, JUDGE, FRAZIER, CESPEDES, ORTIZ, MORNEAU, ABREU, TEJADA, GIAMBI, SOSA, BONDS"
All-Star Weekend,Events typically held,"DERBY, FUTURES, SOFTBALL, CELEBRITY, VILLAGE, FANFEST, CONCERT, PARADE, RED CARPET, DRAFT, SKILLS, CLINIC, MASCOT"
Philadelphia 2026 Host,Future host city details,"PHILLY, LIBERTY, BELL, CITIZENS, BANK, PARK, INDEPENDENCE, SUMMER, STARS, BICENTENNIAL, CHEESE STEAK, PHILLIES, HOST"
Derby Rules & Gear,How the derby works,"SLUGGER, BATTING, PRACTICE, BOMBS, DISTANCE, CLOCK, BONUS, BRACKET, TIMEOUT, SEEDING, SWINGOFF, TROPHY, POWER"
Selection Process,Picking the teams,"VOTING, INTERNET, PHASE, STARTERS, RESERVES, PITCHERS, MANAGER, COMMISSIONER, FINAL VOTE, BALLOT, ONLINE, WRITEIN, CHOICE"
All-Star Pitchers,Types of pitches and roles,"STARTER, RELIEVER, VELOCITY, STRIKEOUT, SCORELESS, INNING, BULLPEN, WARMUP, CHANGEUP, SLIDER, FASTBALL, CUTTER, SWEEPER"
Historical Venues,Famous old stadiums,"COMISKEY, SHIBE, CROSLEY, EBBETS, SPORTSMANS, FORBES, GRIFFITH, BRIGGS, POLOGROUNDS, SHEA, TIGER, CANDLESTICK, RIVERFRONT"
The All-Star Break,Time off for the league,"VACATION, HIATUS, REST, OFFDAYS, TRAVEL, FAMILY, SCHEDULE, RESET, SECOND HALF, RECHARGE, TRADES, RUMORS, HEADLINES"
International Stars,Global players,"OHTANI, ICHIRO, PUJOLS, CABRERA, ACUNA, SOTO, ALTUVE, RAMIREZ, DIAZ, VLADDY, MATSUI, DARVISH, RYU"
Future Stars Game,Prospects match,"PROSPECT, ROOKIE, MINORS, CALLUP, PIPELINE, FUTURE, ELITE, TALENT, SHOWCASE, RANKING, SCOUT, RADAR, JERSEY"
ASG Broadcasting,Media coverage terms,"ANNOUNCER, BOOTH, MIC, RADIO, TELEVISION, STREAM, COLOR, ANALYSIS, SIDELINE, INTERVIEW, REPLAY, HIGHLIGHT, VOICE"
Manager's Tactics,Strategy during the game,"STRATEGY, LINEUP, MATCHUP, SUB, PINCHHIT, PINCHRUN, DEFENSE, DEPTH, ROSTER, PILOT, CAPTAIN, BENCH, VETERAN"
Record Breakers,Statistical milestones,"MOST HITS, MOST RUNS, LONGEST, SHORTEST, HIGHEST, LOWEST, TOTAL, SEASON, CAREER, ATTENDANCE, VIEWERSHIP, RATINGS, POPULARITY"
ASG Gear & Style,Equipment and fashion,"UNIFORM, JERSEY, CAP, PATCH, COLORS, LOGO, CLEATS, GLOVE, HELMET, SOCKS, MERCHANDISE, LIMITED, EXCLUSIVE"
League Rivalry,AL vs NL competition,"JUNIOR, SENIOR, CIRCUIT, PRIDE, BRAGGING, ALWINS, NLWINS, SERIES, HISTORY, DOMINANCE, INTERLEAGUE, MATCHUP, DUEL"
The Trophy Room,Awards and history,"ARCH WARD, TED WILLIAMS, MVP, GLASS, SILVER, GOLD, MEDAL, RING, HONOR, LEGACY, HALLOFFAME, MUSEUM, DISPLAY"
Stadium Atmosphere,The feeling at the game,"LIGHTS, MUSIC, ORGAN, FIREWORKS, ANTHEM, FLAG, FLYOVER, JUMBOTRON, SCOREBOARD, VENDOR, SOUVENIR, PROGRAM, TICKET"
Memorable Catches,Great defensive plays,"DIVING, LEAPING, ROBBERY, OUTFIELD, WALL, SNAG, GLOVE, LEATHER, STRETCH, JUMP, TRACK, BACKHAND, SPEED"
Home Run Derby Stats,Measuring the hits,"DISTANCE, FOOTAGE, TRAJECTORY, ARC, EXIT VELO, POWER, SMASH, CRUSH, BLAST, BOMB, DINGER, TOWERING, MOONSHOT"
All-Star Fan Experience,What fans can do,"AUTOGRAPH, SELFIE, TAILGATE, VILLAGE, EXHIBIT, GAMES, CLINIC, PHOTO, JERSEY, PROGRAM, SCORECARD, SOUVENIR, SHIRT"
Classic ASG Moments,Unforgettable plays,"WALKOFF, GRAND SLAM, PERFECT, NO-HITTER, TIE, EXTRA INNINGS, RALLY, COMEBACK, CLINCH, STRIKEOUT, LEAD, SAVE, WIN"
Selection Strategy,How rosters are built,"FANS, PLAYERS, COACHES, MANAGERS, ROSTER, SIZE, DEPTH, BALANCE, INJURY, REPLACEMENT, DESERVING, SNUB, HONOR"
ASG City Tourism,Visiting the host city,"HOTELS, TRAVEL, FLIGHT, AIRPORT, DOWNTOWN, SIGHTS, TOURS, FOOD, DINING, LANDMARK, VISIT, WELCOME, LOCAL"
Post-Game Reaction,Quotes and interviews,"INTERVIEW, PRESS, ROOM, CELEBRATION, TROPHY, QUOTES, STORY, HEADLINE, NEWS, SOCIAL, MEDIA, RECAP, STATS"
All-Star Legacy,The impact of the game,"TRADITION, HISTORY, LEGENDS, HEROES, IMPACT, GROWING, GAME, GLOBAL, FUTURE, MEMORY, PRIDE, HONOR, SUCCESS"
