Title,Description,Word
East-West Icons (Negro Leagues),Legends of the Negro Leagues,"SATCHEL PAIGE, JOSH GIBSON, COOL PAPA BELL, BUCK LEONARD, OSCAR CHARLESTON, MULE SUTTLES, TURKEY STEARNES, WILLIE WELLS, LEON DAY, BILL WRIGHT, COMISKEY PARK, NEGRO LEAGUES, SHOWCASE, CROWD, LEGACY"
ASG Statistical Leaders,Top performers in history,"WILLIE MAYS, STAN MUSIAL, HANK AARON, BROOKS ROBINSON, NELLIE FOX, TED WILLIAMS, MICKEY MANTLE, REGGIE JACKSON, ICHIRO SUZUKI, CAL RIPKEN, TOTAL BASES, APPEARANCES, AT BATS, RUNS BATTED IN, AVERAGE"
Rare ASG Events,Unusual occurrences,"INSIDE THE PARK, WALK-OFF HOME, TRIPLE PLAY, TIE GAME, RAIN DELAY, EXTRA INNINGS, POSITION PLAYER, PITCHING, BALK, EJECTION, GROUND RULE, OVER THE WALL, CATCHER INTER, PICK OFF, INTENTIONAL, STRETCH"
The Ted Williams MVP Trophy,Details about the award,"ARCH WARD, SILVER SLUGGER, GLASS BOWL, ETCHING, CRYSTAL, PRESENTATION, PODIUM, CEREMONY, RECIPIENT, VOTE, SELECTION, MEDIA, BALLOT, COMMITTEE, HONORARY"
Obscure Selection Rules,Nitty-gritty roster rules,"PHASE TWO, DESIGNATED, STARTER, FINAL VOTE, INJURY, REPLACEMENT, COMMISSIONER, PICK, PLAYER BALLOT, MANAGER CHOICE, MANDATORY, REPRESENTATIVE, ROSTER SIZE, COVID LIST, ALTERNATE"
ASG Record Breakers,Setting new records,"STRIKEOUTS, CONSECUTIVE, LONGEST DRIVE, HIGHEST EXIT, OLDEST PLAYER, YOUNGEST STAR, MOST WALKS, TOTAL BASES, STOLEN BASES, ERRORS, SHUTOUT, SAVE STREAK, NO HITTER, PERFECT, RALLY"
All-Star Venues (Demolished),Gone but not forgotten parks,"TIGER STADIUM, SPORTSMANS, FORBES FIELD, GRIFFITH, SHIBE PARK, EBBETS FIELD, POLO GROUNDS, MEMORIAL, METRODOME, QUALCOMM, VETERANS, THREE RIVERS, KINGDOME, HUBERT H, ASTRODOME"
Derby Mechanics & Logic,Physics of the derby,"TRAJECTORY, AERODYNAMICS, EXIT VELOCITY, LAUNCH ANGLE, BATTING CAGE, PITCHER CHOICE, TIMEOUT, BONUS TIME, BRACKETOLOGY, SEEDING, DISTANCE, FOOTAGE, RADAR, SPIN RATE, ARC"
Legendary ASG Managers,Famous skippers,"CASEY STENGEL, JOE MCCARTHY, TONY LA RUSSA, JOE TORRE, BOBBY COX, WALTER ALSTON, SPARK ANDERSON, TOM LASORDA, BRUCE BOCHY, DUSTY BAKER, JOE CRONIN, LEO DUROCHER, CONNIE MACK, TERRY FRANCONA, LOU PINIELLA"
Broadcasting History,Voices of the past,"MEL ALLEN, VIN SCULLY, JACK BUCK, CURT GOWDY, JOE GARAGIOLA, BOB COSTAS, JOE BUCK, AL MICHAELS, TELECAST, SIMULCAST, SATELLITE, WIRELESS, COLOR COMMENTARY, PLAY BY PLAY, ANALYST"
Uniform & Patch History,Evolution of the look,"SHOULDER PATCH, JERSEY FONT, PINSTRIPES, VEST STYLE, STIRRUPS, KNICKERS, BATTING GLOVES, SPECIAL EDITION, ASG LOGO, COMMEMORATIVE, EMBROIDERY, FABRIC, APPAREL, THEME, BRANDING"
International ASG Stars,Players from around the world,"FERNANDO, VALENZUELA, PEDRO MARTINEZ, MARIANO RIVERA, ALBERT PUJOLS, MIGUEL CABRERA, VLADIMIR, GUERRERO, SHOHEI OHTANI, ICHIRO, MATSUI, AROLDIS, CHAPMAN, XANDER, BOGAERTS"
"The ""Hubbell"" Set (1934)",The famous strikeout streak,"CARL HUBBELL, BABE RUTH, LOU GEHRIG, JIMMIE FOXX, AL SIMMONS, JOE CRONIN, STRIKEOUTS, SEQUENCE, SCREWBALL, GIANTS, LEFTHANDED, PERFORMANCE, LEGENDARY, INNING, MASTERY"
"The All-Star ""Snub""",Players left out,"EXCLUSION, CONTROVERSY, STATISTICS, COMPARISON, SNUBBED, OUTRAGE, DEBATE, DISASTER, OMISSION, SELECTION, CRITERIA, PERFORMANCE, OPINION, RANKING, FANS"
ASG Skill Competitions,Tests of ability,"BUNTING, ACCURACY, SPEED, DRIBBLE, THROWING, CATCHING, RELAY, DASH, POWER, STRENGTH, AGILITY, REFLEX, SHOWCASE, PERFORMANCE, TRIALS"
Stadium Quirks (ASG Specific),Unique field features,"RETRACTABLE ROOF, HUMIDOR, ALTITUDE, WINDSWEPT, SHADOWS, FOUL TERRITORY, TURF, GRASS, OUTFIELD WALL, DISTANCE, LIGHTING, DIMENSIONS, CAPACITY, SEATING, TURNSTILE"
"The ""Bicentennial"" (1976)",The 100th anniversary game,"PHILADELPHIA, VETERANS, STADIUM, JULY, LIBERTY, BELL, BICENTENNIAL, AMERICAN, REVOLUTION, HISTORY, PHILLIES, NATIONAL, LEAGUE, STARS, HERITAGE"
ASG Opening Ceremonies,The pre-game show,"FLYOVER, MILITARY, CHORUS, ANTHEM, FLAG, CEREMONY, FIREWORKS, PROCESSION, DIGNITARY, FIRST PITCH, COLOR GUARD, STADIUM, ROAR, TRADITION, START"
Modern Analytics (ASG),Advanced stats,"DATA POINTS, HEAT MAP, SPRAY CHART, PROBABILITY, MATCHUP, OPTIMIZATION, LEVERAGE, SITUATIONAL, TACTICAL, ADJUSTMENT, PERFORMANCE, SENSOR, TRACKING, SOFTWARE, PREDICTION"
